               n               m        E_phi_nm        E_psi_nm          E_p_nm
      0.1100E+02      0.1480E+03      0.2870E-22      0.8866E-23      0.3819E-18
      0.1200E+02      0.1480E+03      0.7342E-22      0.1822E-22      0.6854E-18
      0.1300E+02      0.1480E+03      0.2190E-21      0.4246E-22      0.1048E-17
      0.1400E+02      0.1480E+03      0.4625E-21      0.9594E-22      0.1794E-17
      0.1500E+02      0.1480E+03      0.1690E-20      0.2247E-21      0.3419E-17
      0.1600E+02      0.1480E+03      0.4310E-20      0.5095E-21      0.6893E-17
      0.1700E+02      0.1480E+03      0.9997E-20      0.1157E-20      0.1124E-16
      0.1800E+02      0.1480E+03      0.2799E-19      0.2825E-20      0.1948E-16
      0.1900E+02      0.1480E+03      0.6734E-19      0.8299E-20      0.4206E-16
      0.2000E+02      0.1480E+03      0.1506E-18      0.2036E-19      0.8784E-16
      0.2100E+02      0.1480E+03      0.3391E-18      0.6162E-19      0.1844E-15
      0.2200E+02      0.1480E+03      0.7895E-18      0.2956E-18      0.3405E-15
      0.2300E+02      0.1480E+03      0.1902E-17      0.7854E-18      0.4830E-15
      0.2400E+02      0.1480E+03      0.8688E-17      0.4300E-17      0.8176E-15
      0.2500E+02      0.1480E+03      0.3090E-16      0.1819E-16      0.1520E-14
      0.2600E+02      0.1480E+03      0.8949E-16      0.5762E-16      0.2643E-14
      0.2700E+02      0.1480E+03      0.3253E-15      0.2240E-15      0.5193E-14
      0.2800E+02      0.1480E+03      0.1272E-14      0.9592E-15      0.8972E-14
      0.2900E+02      0.1480E+03      0.3497E-14      0.2972E-14      0.1925E-13
      0.3000E+02      0.1480E+03      0.8075E-14      0.7757E-14      0.3246E-13
      0.3100E+02      0.1480E+03      0.1222E-13      0.1283E-13      0.6382E-13
      0.3200E+02      0.1480E+03      0.2766E-13      0.2618E-13      0.1164E-12
      0.3300E+02      0.1480E+03      0.5998E-13      0.6179E-13      0.2674E-12
      0.3400E+02      0.1480E+03      0.2731E-12      0.1835E-12      0.1876E-11
      0.3500E+02      0.1480E+03      0.2168E-11      0.3365E-11      0.6020E-10
      0.3600E+02      0.1480E+03      0.2886E-09      0.1739E-10      0.4964E-08
      0.3700E+02      0.1480E+03      0.1778E-09      0.9737E-10      0.5416E-09
      0.3800E+02      0.1480E+03      0.5187E-10      0.7382E-10      0.5562E-09
      0.3900E+02      0.1480E+03      0.1117E-09      0.5340E-10      0.7606E-09
      0.4000E+02      0.1480E+03      0.1021E-09      0.1667E-09      0.2763E-09
 
     -0.4000E+02      0.1490E+03      0.1732E-36      0.1015E-33      0.7702E-28
     -0.3900E+02      0.1490E+03      0.2976E-36      0.1585E-33      0.1099E-27
     -0.3800E+02      0.1490E+03      0.4903E-36      0.5111E-33      0.2692E-27
     -0.3700E+02      0.1490E+03      0.8079E-36      0.4969E-33      0.2451E-27
     -0.3600E+02      0.1490E+03      0.1270E-35      0.8897E-33      0.5734E-27
     -0.3500E+02      0.1490E+03      0.2053E-35      0.1964E-32      0.1057E-26
     -0.3400E+02      0.1490E+03      0.3333E-35      0.2942E-32      0.1429E-26
     -0.3300E+02      0.1490E+03      0.5438E-35      0.4143E-32      0.1842E-26
     -0.3200E+02      0.1490E+03      0.8464E-35      0.6841E-32      0.2511E-26
     -0.3100E+02      0.1490E+03      0.1419E-34      0.2155E-31      0.7777E-26
     -0.3000E+02      0.1490E+03      0.2037E-34      0.6078E-31      0.2245E-25
     -0.2900E+02      0.1490E+03      0.3022E-34      0.3936E-31      0.1284E-25
     -0.2800E+02      0.1490E+03      0.4701E-34      0.6817E-31      0.2484E-25
     -0.2700E+02      0.1490E+03      0.7376E-34      0.1083E-30      0.4027E-25
     -0.2600E+02      0.1490E+03      0.1431E-33      0.1352E-30      0.6070E-25
     -0.2500E+02      0.1490E+03      0.2725E-33      0.2883E-30      0.1222E-24
     -0.2400E+02      0.1490E+03      0.5260E-33      0.4631E-30      0.1618E-24
     -0.2300E+02      0.1490E+03      0.8616E-33      0.5546E-30      0.1845E-24
     -0.2200E+02      0.1490E+03      0.1477E-32      0.6944E-30      0.2174E-24
     -0.2100E+02      0.1490E+03      0.2569E-32      0.9947E-30      0.3144E-24
     -0.2000E+02      0.1490E+03      0.4191E-32      0.1740E-29      0.5321E-24
     -0.1900E+02      0.1490E+03      0.7613E-32      0.3130E-29      0.9901E-24
     -0.1800E+02      0.1490E+03      0.1304E-31      0.5780E-29      0.1626E-23
     -0.1700E+02      0.1490E+03      0.2202E-31      0.7709E-29      0.2508E-23
     -0.1600E+02      0.1490E+03      0.3624E-31      0.1238E-28      0.4122E-23
     -0.1500E+02      0.1490E+03      0.7972E-31      0.2002E-28      0.7875E-23
     -0.1400E+02      0.1490E+03      0.1462E-30      0.2902E-28      0.1195E-22
     -0.1300E+02      0.1490E+03      0.2339E-30      0.4937E-28      0.1970E-22
     -0.1200E+02      0.1490E+03      0.4758E-30      0.6873E-28      0.2524E-22
     -0.1100E+02      0.1490E+03      0.1052E-29      0.1193E-27      0.4162E-22
     -0.1000E+02      0.1490E+03      0.2033E-29      0.1974E-27      0.7281E-22
     -0.9000E+01      0.1490E+03      0.3743E-29      0.3771E-27      0.1299E-21
     -0.8000E+01      0.1490E+03      0.7764E-29      0.6028E-27      0.1907E-21
     -0.7000E+01      0.1490E+03      0.1721E-28      0.1129E-26      0.3079E-21
     -0.6000E+01      0.1490E+03      0.3430E-28      0.1794E-26      0.4884E-21
     -0.5000E+01      0.1490E+03      0.5891E-28      0.3270E-26      0.7328E-21
     -0.4000E+01      0.1490E+03      0.9914E-28      0.5579E-26      0.1148E-20
     -0.3000E+01      0.1490E+03      0.1621E-27      0.7898E-26      0.1541E-20
     -0.2000E+01      0.1490E+03      0.2723E-27      0.1235E-25      0.2270E-20
     -0.1000E+01      0.1490E+03      0.5095E-27      0.2253E-25      0.3897E-20
      0.0000E+00      0.1490E+03      0.1078E-26      0.3697E-25      0.6148E-20
      0.1000E+01      0.1490E+03      0.2165E-26      0.6008E-25      0.9443E-20
      0.2000E+01      0.1490E+03      0.4647E-26      0.1050E-24      0.1347E-19
      0.3000E+01      0.1490E+03      0.1184E-25      0.1499E-24      0.1701E-19
      0.4000E+01      0.1490E+03      0.3091E-25      0.2084E-24      0.2343E-19
      0.5000E+01      0.1490E+03      0.7080E-25      0.3333E-24      0.3486E-19
      0.6000E+01      0.1490E+03      0.1507E-24      0.6929E-24      0.5880E-19
      0.7000E+01      0.1490E+03      0.3503E-24      0.1290E-23      0.8818E-19
      0.8000E+01      0.1490E+03      0.8322E-24      0.2051E-23      0.1133E-18
      0.9000E+01      0.1490E+03      0.2100E-23      0.2659E-23      0.1468E-18
      0.1000E+02      0.1490E+03      0.5620E-23      0.4032E-23      0.2357E-18
      0.1100E+02      0.1490E+03      0.2026E-22      0.7038E-23      0.3262E-18
      0.1200E+02      0.1490E+03      0.5219E-22      0.1512E-22      0.5963E-18
      0.1300E+02      0.1490E+03      0.1616E-21      0.3146E-22      0.9036E-18
      0.1400E+02      0.1490E+03      0.3479E-21      0.7612E-22      0.1381E-17
      0.1500E+02      0.1490E+03      0.1111E-20      0.1694E-21      0.2736E-17
      0.1600E+02      0.1490E+03      0.3337E-20      0.4084E-21      0.5700E-17
      0.1700E+02      0.1490E+03      0.7481E-20      0.8960E-21      0.9961E-17
      0.1800E+02      0.1490E+03      0.2022E-19      0.2184E-20      0.1527E-16
      0.1900E+02      0.1490E+03      0.5075E-19      0.6057E-20      0.3339E-16
      0.2000E+02      0.1490E+03      0.1188E-18      0.1668E-19      0.6699E-16
      0.2100E+02      0.1490E+03      0.2543E-18      0.3942E-19      0.1468E-15
      0.2200E+02      0.1490E+03      0.6249E-18      0.1962E-18      0.2894E-15
      0.2300E+02      0.1490E+03      0.1407E-17      0.6087E-18      0.4116E-15
      0.2400E+02      0.1490E+03      0.5468E-17      0.2660E-17      0.6374E-15
      0.2500E+02      0.1490E+03      0.2334E-16      0.1346E-16      0.1286E-14
      0.2600E+02      0.1490E+03      0.6665E-16      0.4326E-16      0.2083E-14
      0.2700E+02      0.1490E+03      0.2272E-15      0.1566E-15      0.4188E-14
      0.2800E+02      0.1490E+03      0.8982E-15      0.6648E-15      0.6571E-14
      0.2900E+02      0.1490E+03      0.2628E-14      0.2106E-14      0.1507E-13
      0.3000E+02      0.1490E+03      0.6960E-14      0.6200E-14      0.3042E-13
      0.3100E+02      0.1490E+03      0.1093E-13      0.1224E-13      0.5833E-13
      0.3200E+02      0.1490E+03      0.2229E-13      0.2118E-13      0.9652E-13
      0.3300E+02      0.1490E+03      0.5164E-13      0.4952E-13      0.1961E-12
      0.3400E+02      0.1490E+03      0.1793E-12      0.1343E-12      0.7342E-12
      0.3500E+02      0.1490E+03      0.1032E-11      0.1893E-11      0.3368E-10
      0.3600E+02      0.1490E+03      0.1750E-09      0.1936E-10      0.2978E-08
      0.3700E+02      0.1490E+03      0.1828E-09      0.6186E-10      0.1305E-08
      0.3800E+02      0.1490E+03      0.3672E-10      0.6357E-10      0.4530E-09
      0.3900E+02      0.1490E+03      0.1552E-09      0.4644E-10      0.8423E-09
      0.4000E+02      0.1490E+03      0.1062E-09      0.9790E-10      0.3797E-09
 
     -0.4000E+02      0.1500E+03      0.1505E-36      0.7515E-34      0.4937E-28
     -0.3900E+02      0.1500E+03      0.2679E-36      0.1349E-33      0.8994E-28
     -0.3800E+02      0.1500E+03      0.4480E-36      0.3440E-33      0.2299E-27
     -0.3700E+02      0.1500E+03      0.7480E-36      0.3893E-33      0.2458E-27
     -0.3600E+02      0.1500E+03      0.1171E-35      0.7039E-33      0.4212E-27
     -0.3500E+02      0.1500E+03      0.1887E-35      0.1766E-32      0.8341E-27
     -0.3400E+02      0.1500E+03      0.3078E-35      0.2590E-32      0.1250E-26
     -0.3300E+02      0.1500E+03      0.5067E-35      0.3523E-32      0.1653E-26
     -0.3200E+02      0.1500E+03      0.7964E-35      0.5731E-32      0.2561E-26
     -0.3100E+02      0.1500E+03      0.1343E-34      0.1905E-31      0.7346E-26
     -0.3000E+02      0.1500E+03      0.1889E-34      0.5381E-31      0.1940E-25
     -0.2900E+02      0.1500E+03      0.2822E-34      0.3486E-31      0.1190E-25
     -0.2800E+02      0.1500E+03      0.4300E-34      0.6393E-31      0.2170E-25
     -0.2700E+02      0.1500E+03      0.6316E-34      0.9719E-31      0.2999E-25
     -0.2600E+02      0.1500E+03      0.1171E-33      0.1178E-30      0.4442E-25
     -0.2500E+02      0.1500E+03      0.2225E-33      0.2489E-30      0.9116E-25
     -0.2400E+02      0.1500E+03      0.4385E-33      0.3917E-30      0.1576E-24
     -0.2300E+02      0.1500E+03      0.7336E-33      0.4934E-30      0.2014E-24
     -0.2200E+02      0.1500E+03      0.1243E-32      0.6450E-30      0.2365E-24
     -0.2100E+02      0.1500E+03      0.2086E-32      0.9157E-30      0.2889E-24
     -0.2000E+02      0.1500E+03      0.3529E-32      0.1282E-29      0.4165E-24
     -0.1900E+02      0.1500E+03      0.6181E-32      0.2424E-29      0.8748E-24
     -0.1800E+02      0.1500E+03      0.1082E-31      0.4113E-29      0.1477E-23
     -0.1700E+02      0.1500E+03      0.1883E-31      0.6256E-29      0.2284E-23
     -0.1600E+02      0.1500E+03      0.2930E-31      0.9638E-29      0.3288E-23
     -0.1500E+02      0.1500E+03      0.6181E-31      0.1656E-28      0.6069E-23
     -0.1400E+02      0.1500E+03      0.1233E-30      0.2593E-28      0.9445E-23
     -0.1300E+02      0.1500E+03      0.1989E-30      0.4002E-28      0.1581E-22
     -0.1200E+02      0.1500E+03      0.3707E-30      0.5933E-28      0.2060E-22
     -0.1100E+02      0.1500E+03      0.8471E-30      0.9506E-28      0.3327E-22
     -0.1000E+02      0.1500E+03      0.1663E-29      0.1647E-27      0.5585E-22
     -0.9000E+01      0.1500E+03      0.3074E-29      0.3134E-27      0.1007E-21
     -0.8000E+01      0.1500E+03      0.6015E-29      0.5260E-27      0.1600E-21
     -0.7000E+01      0.1500E+03      0.1347E-28      0.9140E-27      0.2352E-21
     -0.6000E+01      0.1500E+03      0.2798E-28      0.1510E-26      0.4040E-21
     -0.5000E+01      0.1500E+03      0.4969E-28      0.2599E-26      0.5744E-21
     -0.4000E+01      0.1500E+03      0.8317E-28      0.4835E-26      0.9893E-21
     -0.3000E+01      0.1500E+03      0.1375E-27      0.7079E-26      0.1341E-20
     -0.2000E+01      0.1500E+03      0.2238E-27      0.1048E-25      0.1920E-20
     -0.1000E+01      0.1500E+03      0.4027E-27      0.1918E-25      0.3384E-20
      0.0000E+00      0.1500E+03      0.8331E-27      0.3282E-25      0.5361E-20
      0.1000E+01      0.1500E+03      0.1683E-26      0.5289E-25      0.8654E-20
      0.2000E+01      0.1500E+03      0.3553E-26      0.8821E-25      0.1202E-19
      0.3000E+01      0.1500E+03      0.8508E-26      0.1239E-24      0.1468E-19
      0.4000E+01      0.1500E+03      0.2309E-25      0.1709E-24      0.1921E-19
      0.5000E+01      0.1500E+03      0.5507E-25      0.2567E-24      0.2774E-19
      0.6000E+01      0.1500E+03      0.1181E-24      0.5330E-24      0.4852E-19
      0.7000E+01      0.1500E+03      0.2635E-24      0.1092E-23      0.7991E-19
      0.8000E+01      0.1500E+03      0.6416E-24      0.1757E-23      0.9992E-19
      0.9000E+01      0.1500E+03      0.1547E-23      0.2447E-23      0.1297E-18
      0.1000E+02      0.1500E+03      0.4086E-23      0.3387E-23      0.1908E-18
      0.1100E+02      0.1500E+03      0.1350E-22      0.5558E-23      0.2719E-18
      0.1200E+02      0.1500E+03      0.3967E-22      0.1220E-22      0.4997E-18
      0.1300E+02      0.1500E+03      0.1126E-21      0.2375E-22      0.7853E-18
      0.1400E+02      0.1500E+03      0.2856E-21      0.5815E-22      0.1077E-17
      0.1500E+02      0.1500E+03      0.7259E-21      0.1304E-21      0.2251E-17
      0.1600E+02      0.1500E+03      0.2530E-20      0.3122E-21      0.4445E-17
      0.1700E+02      0.1500E+03      0.5884E-20      0.6953E-21      0.8641E-17
      0.1800E+02      0.1500E+03      0.1488E-19      0.1668E-20      0.1328E-16
      0.1900E+02      0.1500E+03      0.3877E-19      0.4373E-20      0.2742E-16
      0.2000E+02      0.1500E+03      0.9348E-19      0.1303E-19      0.5420E-16
      0.2100E+02      0.1500E+03      0.2005E-18      0.2907E-19      0.1217E-15
      0.2200E+02      0.1500E+03      0.4845E-18      0.1164E-18      0.2524E-15
      0.2300E+02      0.1500E+03      0.1123E-17      0.4780E-18      0.3726E-15
      0.2400E+02      0.1500E+03      0.3375E-17      0.1576E-17      0.5438E-15
      0.2500E+02      0.1500E+03      0.1639E-16      0.8927E-17      0.1097E-14
      0.2600E+02      0.1500E+03      0.4963E-16      0.3120E-16      0.1804E-14
      0.2700E+02      0.1500E+03      0.1524E-15      0.1047E-15      0.3351E-14
      0.2800E+02      0.1500E+03      0.6116E-15      0.4358E-15      0.5361E-14
      0.2900E+02      0.1500E+03      0.1876E-14      0.1433E-14      0.1138E-13
      0.3000E+02      0.1500E+03      0.5454E-14      0.4744E-14      0.2765E-13
      0.3100E+02      0.1500E+03      0.9658E-14      0.1082E-13      0.5234E-13
      0.3200E+02      0.1500E+03      0.1778E-13      0.1613E-13      0.8268E-13
      0.3300E+02      0.1500E+03      0.4212E-13      0.3855E-13      0.1475E-12
      0.3400E+02      0.1500E+03      0.1193E-12      0.9990E-13      0.3469E-12
      0.3500E+02      0.1500E+03      0.6304E-12      0.9228E-12      0.1700E-10
      0.3600E+02      0.1500E+03      0.9042E-10      0.1253E-10      0.1431E-08
      0.3700E+02      0.1500E+03      0.1500E-09      0.2769E-10      0.1746E-08
      0.3800E+02      0.1500E+03      0.3305E-10      0.3810E-10      0.2799E-09
      0.3900E+02      0.1500E+03      0.1274E-09      0.1890E-10      0.8893E-09
      0.4000E+02      0.1500E+03      0.9227E-10      0.7102E-10      0.4180E-09
 
     -0.4000E+02      0.1510E+03      0.1254E-36      0.3723E-34      0.3522E-28
     -0.3900E+02      0.1510E+03      0.2304E-36      0.7723E-34      0.7208E-28
     -0.3800E+02      0.1510E+03      0.3870E-36      0.2376E-33      0.1138E-27
     -0.3700E+02      0.1510E+03      0.6461E-36      0.3181E-33      0.1789E-27
     -0.3600E+02      0.1510E+03      0.1009E-35      0.4831E-33      0.2887E-27
     -0.3500E+02      0.1510E+03      0.1638E-35      0.1256E-32      0.7006E-27
     -0.3400E+02      0.1510E+03      0.2669E-35      0.2109E-32      0.1121E-26
     -0.3300E+02      0.1510E+03      0.4367E-35      0.2887E-32      0.1498E-26
     -0.3200E+02      0.1510E+03      0.7004E-35      0.4951E-32      0.2309E-26
     -0.3100E+02      0.1510E+03      0.1186E-34      0.1705E-31      0.6302E-26
     -0.3000E+02      0.1510E+03      0.1689E-34      0.4311E-31      0.1642E-25
     -0.2900E+02      0.1510E+03      0.2557E-34      0.3096E-31      0.1124E-25
     -0.2800E+02      0.1510E+03      0.3805E-34      0.5423E-31      0.1952E-25
     -0.2700E+02      0.1510E+03      0.5389E-34      0.7469E-31      0.2748E-25
     -0.2600E+02      0.1510E+03      0.9524E-34      0.1018E-30      0.4140E-25
     -0.2500E+02      0.1510E+03      0.1798E-33      0.2024E-30      0.8648E-25
     -0.2400E+02      0.1510E+03      0.3612E-33      0.3555E-30      0.1623E-24
     -0.2300E+02      0.1510E+03      0.6220E-33      0.4928E-30      0.1862E-24
     -0.2200E+02      0.1510E+03      0.1041E-32      0.6271E-30      0.2181E-24
     -0.2100E+02      0.1510E+03      0.1702E-32      0.8570E-30      0.2663E-24
     -0.2000E+02      0.1510E+03      0.3015E-32      0.1064E-29      0.3315E-24
     -0.1900E+02      0.1510E+03      0.5121E-32      0.2208E-29      0.6344E-24
     -0.1800E+02      0.1510E+03      0.9160E-32      0.3699E-29      0.1046E-23
     -0.1700E+02      0.1510E+03      0.1580E-31      0.5828E-29      0.1833E-23
     -0.1600E+02      0.1510E+03      0.2533E-31      0.8205E-29      0.2417E-23
     -0.1500E+02      0.1510E+03      0.4809E-31      0.1356E-28      0.4726E-23
     -0.1400E+02      0.1510E+03      0.1026E-30      0.2148E-28      0.7699E-23
     -0.1300E+02      0.1510E+03      0.1733E-30      0.3180E-28      0.1211E-22
